Submission Number,Date,Rating,Status,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended
220,24th April 2023,1,Trip Verified,Boeing 777,Family Leisure,Premium Economy,"Bangalore to Toronto via London, ",23-Apr,2,1,1,1,no
221,23rd April 2023,1,Trip Verified,Dreamliner,Family Leisure,Economy Class,London to Denver,23-Feb,2,1,1,2,no
222,22nd April 2023,10,Trip Verified,A350,Solo Leisure,Premium Economy,London to Hong Kong,23-Apr,4,5,4,4,yes
223,18th April 2023,2,Not Verified,Unknown,Couple Leisure,Economy Class,Brussels to Los Angeles via London Heathrow,23-Apr,1,4,1,1,no
224,18th April 2023,5,Not Verified,Unknown,Couple Leisure,Economy Class,Copenhagen to London,23-Apr,1,4,2,2,no
225,17th April 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,London to Denver,23-Mar,2,5,4,1,no
226,17th April 2023,3,Trip Verified,Unknown,Solo Leisure,Economy Class,Hong Kong to London,23-Apr,2,1,2,2,no
227,16th April 2023,4,Trip Verified,A320,Business,Business Class,Heathrow to Malaga,23-Apr,3,3,3,2,no
228,15th April 2023,3,Trip Verified,Unknown,Family Leisure,Economy Class,Santorini to Gatwick,23-Mar,4,4,3,1,no
229,15th April 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Madrid to Belfast via London,23-Jan,3,3,1,1,no
230,14th April 2023,1,Not Verified,Unknown,Business,Economy Class,Dublin to London,23-Apr,1,1,1,1,no
231,13th April 2023,2,Trip Verified,Unknown,Couple Leisure,Business Class,London to Venice,23-Mar,1,2,2,2,no
232,12th April 2023,1,Trip Verified,A350,Couple Leisure,Economy Class,Las Vegas to London,23-Apr,1,1,4,1,no
233,11th April 2023,9,Trip Verified,A320,Solo Leisure,Business Class,Faro to Heathrow,23-Apr,5,5,3,5,yes
234,10th April 2023,5,Trip Verified,Boeing 777,Couple Leisure,Business Class,London to Atlanta,23-Apr,4,3,2,3,no
235,9th April 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Copenhagen,23-Apr,1,4,1,1,no
236,9th April 2023,2,Not Verified,Unknown,Couple Leisure,Economy Class,London to Malta,23-Apr,3,1,1,1,no
237,9th April 2023,7,Trip Verified,A319,Couple Leisure,Economy Class,Belfast to London,23-Apr,4,4,4,4,yes
238,6th April 2023,4,Trip Verified,Boeing 787,Business,Premium Economy,London to Hong Kong,23-Apr,2,2,4,3,no
239,6th April 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Mumbai to Chicago via London,23-Apr,4,1,1,1,no
240,5th April 2023,3,Trip Verified,Boeing 777,Business,Business Class,London to New York,23-Apr,3,2,3,2,no
241,31st March 2023,9,Trip Verified,Boeing 777-200,Solo Leisure,Economy Class,Mumbai to London,23-Mar,4,5,4,5,yes
242,30th March 2023,10,Not Verified,Boeing 787 / A320,Couple Leisure,Business Class,Mexico City to Amsterdam via London,23-Mar,4,5,4,5,yes
243,29th March 2023,1,Trip Verified,Unknown,Business,Economy Class,Barcelona to London,23-Mar,3,3,3,1,no
244,27th March 2023,3,Not Verified,A321,Couple Leisure,Economy Class,London to Lanzarote,23-Mar,3,2,2,3,no
245,26th March 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,Marrakech to London Heathrow,23-Mar,1,1,1,1,no
246,26th March 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Marrakech,23-Mar,1,3,1,1,no
247,21st March 2023,1,Not Verified,Unknown,Family Leisure,Economy Class,London to Algiers,22-May,1,1,1,2,no
248,21st March 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Miami to Munich via London,23-Mar,3,1,1,1,yes
249,20th March 2023,3,Trip Verified,Unknown,Business,Economy Class,New York to London,23-Mar,1,1,2,2,no
250,20th March 2023,2,Trip Verified,A321Neo,Couple Leisure,Economy Class,Cairo to London,23-Mar,1,4,4,2,no
251,18th March 2023,8,Trip Verified,Boeing 777,Solo Leisure,Premium Economy,Mumbai to Nassau via London,23-Mar,4,4,3,3,yes
252,18th March 2023,3,Trip Verified,A380,Couple Leisure,First Class,Johannesburg to London,23-Mar,4,5,1,2,no
253,17th March 2023,1,Not Verified,Unknown,Solo Leisure,Economy Class,Munich to London Heathrow,23-Mar,3,3,1,1,no
254,17th March 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Amsterdam to London,23-Mar,1,Unknown,1,1,no
255,16th March 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Heathrow to Belfast City,23-Mar,3,3,1,1,no
256,15th March 2023,7,Trip Verified,A320,Couple Leisure,Economy Class,Gatwick to Dubrovnik,23-Mar,1,3,5,5,yes
257,15th March 2023,1,Not Verified,Unknown,Business,Economy Class,London Heathrow to Amsterdam,23-Mar,2,1,1,1,no
258,15th March 2023,2,Trip Verified,Unknown,Solo Leisure,Economy Class,Zagreb to London Heathrow,23-Mar,3,2,1,2,no
259,14th March 2023,2,Not Verified,Unknown,Couple Leisure,Premium Economy,New York JFK to Heathrow,23-Mar,1,2,3,1,no
260,13th March 2023,1,Not Verified,Unknown,Solo Leisure,Economy Class,Dublin to Orlando via Heathrow,22-Dec,1,1,1,1,no
261,12th March 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,London Heathrow to Munich,23-Mar,1,1,1,1,no
262,12th March 2023,2,Not Verified,Unknown,Business,Business Class,London to Dubai,22-Dec,4,4,1,1,no
263,10th March 2023,1,Trip Verified,A320,Solo Leisure,Economy Class,Geneva to London,23-Mar,2,3,1,2,no
264,10th March 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Prague to London,22-Dec,1,Unknown,1,1,no
265,10th March 2023,1,Trip Verified,Unknown,Business,Economy Class,Heathrow to Glasgow,23-Mar,1,1,1,1,no
266,9th March 2023,8,Trip Verified,A321,Business,Economy Class,London Heathrow to Arlanda Stockholm,23-Mar,5,5,5,5,yes
267,8th March 2023,1,Not Verified,Unknown,Couple Leisure,Business Class,Portland to Tel Aviv via Heathrow,23-Mar,Unknown,Unknown,Unknown,1,no
268,6th March 2023,1,Trip Verified,Unknown,Solo Leisure,Business Class,Heathrow to Milan Malpensa,22-Apr,Unknown,Unknown,1,1,no
269,4th March 2023,2,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Los Angeles,23-Mar,1,2,3,1,no
270,2nd March 2023,10,Trip Verified,Boeing 777 / A320,Solo Leisure,Economy Class,New York to Istanbul via London,23-Mar,5,5,5,5,yes
271,2nd March 2023,4,Not Verified,Unknown,Couple Leisure,Premium Economy,London Heathrow to Las Vegas,23-Mar,3,2,2,3,no
272,28th February 2023,1,Trip Verified,A321neo,Business,Business Class,London to Cairo,23-Jan,1,2,3,1,no
273,27th February 2023,8,Trip Verified,Boeing 787,Solo Leisure,Economy Class,London Singapore ,23-Feb,3,5,5,4,yes
274,27th February 2023,6,Trip Verified,A380,Business,Business Class,London to Dubai,23-Feb,2,3,4,3,yes
275,27th February 2023,7,Trip Verified,A320,Business,Business Class,Brussels to London,23-Feb,2,4,4,4,yes
276,26th February 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Lyon to London,23-Feb,1,4,1,1,no
277,26th February 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,London to Lyon,23-Feb,1,4,1,1,no
278,23rd February 2023,4,Trip Verified,A320,Couple Leisure,Economy Class,Faro to Gatwick ,23-Feb,2,2,5,2,no
279,18th February 2023,5,Trip Verified,A320,Family Leisure,Economy Class,Oslo to London,23-Feb,3,3,2,3,no
280,18th February 2023,1,Trip Verified,A320,Solo Leisure,Economy Class,London to Madrid,23-Feb,2,1,1,2,no
281,16th February 2023,8,Trip Verified,Unknown,Couple Leisure,Economy Class,Islamabad to London,23-Feb,4,5,4,5,yes
282,15th February 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Edinburgh to London,23-Feb,3,2,1,1,no
283,7th February 2023,9,Trip Verified,Boeing 787-9,Couple Leisure,Business Class,Mexico City to London,23-Feb,5,5,5,5,yes
284,6th February 2023,10,Trip Verified,A320,Solo Leisure,Economy Class,Palma to Gatwick,23-Jan,5,5,5,5,yes
285,4th February 2023,10,Trip Verified,Unknown,Family Leisure,Economy Class,London to Madrid,23-Feb,5,5,5,5,yes
286,31st January 2023,10,Trip Verified,A320,Business,Economy Class,London Heathrow to Glasgow,23-Jan,5,5,5,5,yes
287,31st January 2023,2,Trip Verified,Unknown,Couple Leisure,Premium Economy,London to Buenos Aires,23-Jan,3,1,4,1,no
288,28th January 2023,4,Trip Verified,Boeing 777-300,Solo Leisure,Premium Economy,London to Vancouver,23-Jan,4,4,4,1,no
289,28th January 2023,3,Trip Verified,Unknown,Solo Leisure,Economy Class,Faro to London,23-Jan,1,2,4,3,no
290,24th January 2023,9,Trip Verified,A380,Solo Leisure,First Class,Heathrow to Johannesburg,23-Jan,4,5,5,4,yes
291,24th January 2023,9,Trip Verified,Boeing 777-200,Couple Leisure,Business Class,Cape Town to London,23-Jan,4,5,4,4,yes
292,23rd January 2023,9,Trip Verified,Boeing 777-300ER,Couple Leisure,Business Class,London to Male,23-Jan,5,5,5,4,yes
293,21st January 2023,2,Trip Verified,Unknown,Solo Leisure,Business Class,London to Vienna,22-Dec,3,2,1,1,no
294,19th January 2023,3,Not Verified,Unknown,Couple Leisure,Economy Class,Johannesburg to Los Angeles via London,23-Jan,2,2,1,2,no
295,19th January 2023,2,Not Verified,Unknown,Solo Leisure,Economy Class,London Gatwick to Alicante,23-Jan,Unknown,Unknown,Unknown,1,no
296,18th January 2023,9,Trip Verified,Boeing 787-8,Family Leisure,Economy Class,London to Tel Aviv,22-Dec,4,5,4,5,yes
297,17th January 2023,9,Trip Verified,Boeing 777-200,Couple Leisure,Business Class,London Heathrow to Cape Town,23-Jan,3,5,4,4,yes
298,17th January 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Gatwick to Dublin,23-Jan,3,5,1,1,no
299,16th January 2023,3,Not Verified,Unknown,Solo Leisure,Premium Economy,London Heathrow to Athens Greece ,22-Apr,3,4,3,1,no
300,9th January 2023,4,Trip Verified,Boeing 777-200,Family Leisure,Economy Class,Atlanta to London,23-Jan,1,1,1,2,no
301,8th January 2023,5,Not Verified,A380,Family Leisure,Economy Class,London to Chicago,22-Dec,3,2,3,2,no
302,6th January 2023,1,Not Verified,Unknown,Family Leisure,Economy Class,Istanbul to Vancouver via Heathrow,23-Jan,1,5,1,1,no
303,2nd January 2023,1,Trip Verified,"A320, A380",Family Leisure,Business Class,Vienna to Los Angeles via London Heathrow,23-Jan,1,2,1,1,no
304,2nd January 2023,2,Trip Verified,Unknown,Business,Business Class,London to San francisco,23-Jan,2,5,2,1,no
305,2nd January 2023,8,Trip Verified,A321,Business,Economy Class,London to Belfast,23-Jan,4,5,5,4,yes
306,1st January 2023,6,Trip Verified,A380,Business,Economy Class,Doha to London,22-Dec,5,3,5,4,no
307,30th December 2022,4,Not Verified,Boeing 777,Couple Leisure,Business Class,London to Barbados,22-Dec,3,4,4,3,no
308,29th December 2022,4,Trip Verified,Boeing 777,Solo Leisure,Premium Economy,London Gatwick to Cape Town,22-Dec,3,4,2,3,no
309,29th December 2022,3,Trip Verified,A350,Solo Leisure,Business Class,Cape Town to London,22-Dec,4,3,1,2,no
310,29th December 2022,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London Heathrow to Frankfurt,22-Dec,3,3,1,1,no
311,28th December 2022,1,Trip Verified,Unknown,Family Leisure,Economy Class,Vancouver to Delhi via London,22-Dec,Unknown,Unknown,Unknown,1,no
312,24th December 2022,8,Trip Verified,A320,Couple Leisure,Economy Class,Marseille to London,22-Dec,3,3,4,5,yes
313,22nd December 2022,3,Trip Verified,Boeing 777-300,Couple Leisure,First Class,London to Male,22-Dec,2,2,3,1,no
314,20th December 2022,1,Not Verified,A320,Solo Leisure,Economy Class,Keflavik to London Heathrow,22-Dec,2,3,1,1,no
315,19th December 2022,1,Not Verified,Unknown,Business,Business Class,London Heathrow to Frankfurt,22-Oct,3,4,1,1,no
316,19th December 2022,2,Trip Verified,Unknown,Solo Leisure,Economy Class,London Heathrow to Bangkok via Doha,22-Dec,2,2,1,1,no
317,19th December 2022,2,Not Verified,Unknown,Couple Leisure,Premium Economy,London Gatwick to Cancun,22-Nov,4,1,1,1,no
318,17th December 2022,5,Trip Verified,Unknown,Solo Leisure,Premium Economy,London to Phoenix,22-Dec,3,5,1,4,no
319,14th December 2022,6,Trip Verified,A321,Business,Business Class,London to Rome,22-Dec,4,4,1,4,yes
320,12th December 2022,1,Trip Verified,Boeing 777,Couple Leisure,Business Class,Barbados to London Heathrow,22-Dec,1,1,1,1,no
321,12th December 2022,8,Not Verified,Boeing 777-200,Solo Leisure,Economy Class,Doha to  Gatwick,22-Nov,2,5,3,5,yes
322,10th December 2022,3,Trip Verified,A320,Business,Business Class,Glasgow to London,22-Dec,5,5,5,3,no
323,10th December 2022,6,Trip Verified,Boeing 777,Couple Leisure,Premium Economy,London to Boston,22-Dec,3,4,3,3,yes
324,9th December 2022,3,Trip Verified,A320,Solo Leisure,Business Class,London to Prague,22-Nov,2,1,2,1,no
325,9th December 2022,4,Trip Verified,Unknown,Business,Business Class,London to Larnaca,22-Dec,1,Unknown,2,3,no
326,8th December 2022,3,Trip Verified,Unknown,Family Leisure,Economy Class,Cairo to London,22-Dec,3,2,3,2,no
327,3rd December 2022,1,Trip Verified,Boeing 787-9,Business,Economy Class,Denver to London,22-Dec,1,1,1,1,no
328,30th November 2022,9,Trip Verified,A320,Solo Leisure,Business Class,London to Marrakech,22-Jun,3,5,4,3,yes
329,28th November 2022,2,Trip Verified,A380,Solo Leisure,Economy Class,San Francisco to London,22-Nov,2,1,3,2,no
330,26th November 2022,7,Trip Verified,A320,Solo Leisure,Business Class,London to Lisbon,22-Nov,3,4,3,3,yes
331,25th November 2022,7,Trip Verified,Boeing 787 / A320,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,22-Jan,4,4,4,4,yes
332,23rd November 2022,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Miami to Budapest via London,22-Nov,2,3,1,1,no
333,19th November 2022,4,Trip Verified,Unknown,Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),22-Nov,3,2,4,2,no
334,19th November 2022,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,22-Aug,1,1,1,1,no
335,18th November 2022,2,Trip Verified,Boeing 777,Solo Leisure,Business Class,London to Cape Town,22-Nov,4,2,1,1,no
336,7th November 2022,1,Not Verified,Unknown,Solo Leisure,Economy Class,Milan to Dallas via London ,22-Nov,2,5,2,1,no
337,7th November 2022,5,Trip Verified,Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,22-Nov,1,3,2,3,yes
338,5th November 2022,1,Trip Verified,Unknown,Couple Leisure,Business Class,Dubai to Belfast via London,22-Oct,3,3,1,1,no
339,31st October 2022,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Dallas to Bologna via London,22-Jul,5,5,1,1,no
340,31st October 2022,1,Trip Verified,Unknown,Solo Leisure,Economy Class,San Francisco to London,22-Oct,Unknown,Unknown,1,1,no
341,31st October 2022,6,Trip Verified,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,22-Oct,2,1,3,3,no
342,30th October 2022,1,Not Verified,Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,22-Oct,3,1,1,1,no
343,30th October 2022,9,Trip Verified,A350-1000,Solo Leisure,Business Class,London to Los Angeles,22-Oct,5,4,3,5,yes
344,30th October 2022,9,Trip Verified,A320,Solo Leisure,Business Class,Copenhagen to Heathrow,22-Oct,3,5,4,5,yes
345,25th October 2022,3,Trip Verified,A320,Family Leisure,Economy Class,Larnaca to London,22-Oct,1,2,2,2,no
346,24th October 2022,9,Trip Verified,Boeing 787-10,Couple Leisure,Business Class,Atlanta to London,22-Oct,5,4,5,4,yes
347,23rd October 2022,2,Trip Verified,A380,Solo Leisure,Business Class,Madrid to San Francisco via London,22-Sep,3,1,3,1,no
348,22nd October 2022,8,Trip Verified,A380,Solo Leisure,Economy Class,London to Washington,22-Oct,3,5,2,5,yes
349,22nd October 2022,1,Trip Verified,A380,Couple Leisure,Economy Class,London to San Francisco,22-Oct,1,1,1,1,no
350,21st October 2022,3,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Delhi,22-Oct,2,2,4,1,no
351,17th October 2022,7,Not Verified,Boeing 777-300,Couple Leisure,Economy Class,London to Los Angeles,22-Oct,3,4,4,4,yes
352,17th October 2022,8,Trip Verified,Boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,22-Oct,5,5,4,3,yes
353,17th October 2022,9,Trip Verified,A380,Solo Leisure,Business Class,Dubai to London,22-Oct,4,4,4,3,yes
354,16th October 2022,1,Not Verified,A320neo,Couple Leisure,Economy Class,London to Cairo,22-Oct,1,1,4,1,no
355,15th October 2022,10,Trip Verified,Boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,22-Oct,5,5,5,4,yes
356,14th October 2022,3,Trip Verified,A321neo,Business,Economy Class,London to Cairo,22-Oct,2,4,3,1,no
357,6th October 2022,6,Not Verified,A380,Couple Leisure,Economy Class,Dallas to London,22-Sep,2,4,4,3,yes
358,1st October 2022,7,Trip Verified,A319,Couple Leisure,Business Class,Jersey to London Heathrow,22-Sep,4,4,3,4,yes
359,1st October 2022,8,Trip Verified,A320,Couple Leisure,Business Class,London Heathrow to Jersey,22-Sep,4,5,3,4,yes
360,25th September 2022,3,Trip Verified,A320-200,Solo Leisure,Business Class,Istanbul to London Heathrow,22-Sep,1,3,3,2,no
361,25th September 2022,9,Trip Verified,Boeing 777-200,Solo Leisure,Business Class,London Heathrow to New York JFK,22-Sep,5,4,5,5,yes
362,24th September 2022,1,Trip Verified,Unknown,Business,Economy Class,Gothenburg to Jersey via London,22-Jun,2,2,1,1,no
363,23rd September 2022,10,Not Verified,Unknown,Solo Leisure,Premium Economy,Heathrow to Mexico City,22-Sep,5,5,5,5,yes
364,20th September 2022,10,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Tampa,22-Sep,5,5,5,5,yes
365,16th September 2022,4,Not Verified,Unknown,Solo Leisure,Economy Class,Sydney to London via Singapore,22-Sep,1,3,4,2,yes
366,14th September 2022,5,Trip Verified,A320,Couple Leisure,Economy Class,London to Lisbon,22-Sep,4,5,3,3,yes
367,11th September 2022,1,Trip Verified,Unknown,Business,Business Class,London to Istanbul,22-Sep,1,1,1,1,no
368,10th September 2022,2,Not Verified,Unknown,Couple Leisure,Economy Class,London to Manchester,22-Sep,4,1,1,1,no
369,7th September 2022,2,Not Verified,Boeing 777,Family Leisure,Economy Class,London to Rome,22-Aug,4,4,1,2,no
370,7th September 2022,7,Trip Verified,Unknown,Couple Leisure,Business Class,London Gatwick to Malaga,22-Sep,3,5,4,3,yes
371,6th September 2022,1,Not Verified,Unknown,Business,Economy Class,Heathrow to Tenerife,21-Nov,Unknown,Unknown,Unknown,1,no
372,31st August 2022,4,Trip Verified,Unknown,Couple Leisure,Economy Class,Manchester to Seattle via London,22-Aug,3,2,4,3,no
373,28th August 2022,1,Trip Verified,Unknown,Couple Leisure,Premium Economy,San Francisco to London,22-Apr,2,1,1,1,no
374,23rd August 2022,10,Not Verified,Unknown,Couple Leisure,Economy Class,Berlin to London City,22-Aug,3,5,2,4,yes
375,23rd August 2022,9,Trip Verified,Boeing 787,Couple Leisure,Economy Class,Tel Aviv to London,22-Aug,5,5,3,4,yes
376,22nd August 2022,1,Trip Verified,Unknown,Solo Leisure,Business Class,London to Manila via Singapore,22-Jun,1,1,1,1,no
377,21st August 2022,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Barcelona,22-Jun,1,2,1,1,no
378,20th August 2022,1,Trip Verified,Unknown,Business,Business Class,Los Angeles to Thessaloniki via London,22-Jun,2,2,1,1,no
379,15th August 2022,10,Trip Verified,Unknown,Couple Leisure,Economy Class,Boston to Dublin via London,22-Aug,5,5,5,5,yes
380,10th August 2022,10,Not Verified,Unknown,Couple Leisure,Economy Class,London to New York,22-Jul,5,5,5,3,yes
381,4th August 2022,1,Not Verified,Boeing 777,Family Leisure,Economy Class,Cape Town to London Heathrow,22-Aug,2,1,4,3,no
382,31st July 2022,8,Not Verified,Unknown,Couple Leisure,Premium Economy,Dallas Ft Worth to London,22-May,3,5,4,4,yes
383,30th July 2022,1,Trip Verified,Unknown,Family Leisure,Economy Class,London to Amsterdam,22-Jul,1,1,1,1,no
384,27th July 2022,1,Trip Verified,A320,Solo Leisure,Business Class,London to Marrakesh,22-Jun,1,1,1,1,no
385,27th July 2022,2,Trip Verified,Unknown,Solo Leisure,Economy Class,Accra to London,21-Nov,Unknown,Unknown,1,1,no
386,27th July 2022,2,Trip Verified,Unknown,Solo Leisure,Economy Class,Nairobi to New York via London,22-Jul,3,5,3,1,no
387,23rd July 2022,8,Trip Verified,A380,Family Leisure,Business Class,San Francisco to London,22-Jul,4,5,4,4,yes
388,22nd July 2022,1,Trip Verified,A320,Solo Leisure,Economy Class,London to Amman,22-May,1,1,1,1,no
389,22nd July 2022,1,Trip Verified,Unknown,Family Leisure,Economy Class,Edinburgh to Washington via London,22-Jul,2,2,1,1,no
390,20th July 2022,1,Not Verified,Unknown,Couple Leisure,Economy Class,Vancouver to Amsterdam via London,22-Jun,5,5,1,1,no
391,18th July 2022,5,Not Verified,A350-1000,Couple Leisure,Economy Class,Sao Paulo to Heathrow ,22-Jul,1,2,3,3,yes
392,18th July 2022,5,Trip Verified,A321,Couple Leisure,Economy Class,London to Reykjavik,22-May,3,4,1,4,yes
393,17th July 2022,7,Trip Verified,A321,Business,Economy Class,Belfast to London,22-Jul,4,5,2,4,yes
394,13th July 2022,1,Trip Verified,Unknown,Unknown,Business Class,London to Malaga,22-Jul,Unknown,Unknown,Unknown,1,no
395,12th July 2022,10,Not Verified,Unknown,Couple Leisure,Business Class,London to Toronto,22-Jul,5,5,5,5,yes
396,9th July 2022,8,Trip Verified,A350,Family Leisure,Business Class,London to Los Angeles,22-Jul,4,4,5,4,yes
397,7th July 2022,1,Trip Verified,Unknown,Family Leisure,Economy Class,Washington to London,22-Jul,1,1,1,1,no
398,6th July 2022,2,Not Verified,Unknown,Solo Leisure,Premium Economy,Nairobi to New York via London,22-Jul,1,1,1,1,no
399,6th July 2022,1,Not Verified,Embraer 190,Couple Leisure,Business Class,Dublin to London City,22-Jul,4,4,1,1,no
400,4th July 2022,4,Not Verified,"A320, Boeing 787",Solo Leisure,Premium Economy,Venice to Baltimore via London Heathrow,22-Jul,3,3,1,2,no
401,4th July 2022,1,Not Verified,Unknown,Couple Leisure,Premium Economy,London to Nairobi,22-Jun,Unknown,Unknown,Unknown,1,no
402,30th June 2022,6,Trip Verified,A350,Couple Leisure,Economy Class,London Heathrow to Johannesburg,22-Jun,1,3,2,4,no
403,30th June 2022,1,Not Verified,Unknown,Family Leisure,Economy Class,Belfast to London,22-Jun,Unknown,Unknown,1,1,no
404,29th June 2022,1,Not Verified,Unknown,Family Leisure,Business Class,Unknown,22-Jun,2,2,1,1,no
405,28th June 2022,1,Not Verified,Unknown,Couple Leisure,Economy Class,London to Paris,21-Jul,1,1,1,1,no
406,27th June 2022,1,Not Verified,Unknown,Business,Business Class,Miami to Paris,22-Jun,3,4,3,1,no
407,27th June 2022,1,Not Verified,Unknown,Family Leisure,Economy Class,Edmonton to Cairo,22-Jun,2,2,1,2,no
408,27th June 2022,1,Not Verified,Unknown,Couple Leisure,Premium Economy,Amsterdam to Montreal via London,22-Jun,2,2,2,2,no
409,25th June 2022,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Hong Kong to London,22-Apr,Unknown,Unknown,Unknown,1,no
410,25th June 2022,1,Trip Verified,Unknown,Family Leisure,Economy Class,Belfast to London,22-Jun,3,1,1,1,no
411,24th June 2022,4,Not Verified,A350,Business,Economy Class,London to Johannesburg,22-Jun,1,4,3,2,no
412,23rd June 2022,1,Trip Verified,A320,Couple Leisure,Economy Class,Paris CDG to London Heathrow,22-Jun,1,4,2,1,no
413,23rd June 2022,4,Trip Verified,Unknown,Couple Leisure,Business Class,Portland to London,22-Jun,2,4,4,2,no
414,22nd June 2022,5,Trip Verified,A320,Business,Business Class,London to Malaga,22-Jun,3,2,2,3,no
415,20th June 2022,1,Not Verified,Unknown,Couple Leisure,Economy Class,Boston to Edinburgh via Heathrow,22-Jun,1,4,1,1,no
416,19th June 2022,1,Not Verified,Unknown,Couple Leisure,Economy Class,Edmonton to Santorini via Toronto / London,22-Jun,1,1,1,1,no
417,18th June 2022,4,Trip Verified,A380,Solo Leisure,Economy Class,Vancouver to London,22-Jun,1,2,2,3,no
418,17th June 2022,8,Trip Verified,Boeing 777-200,Couple Leisure,Business Class,London to san Francisco,22-Jun,4,4,2,4,yes
419,16th June 2022,2,Trip Verified,Unknown,Business,Economy Class,London to Amsterdam,22-Jun,2,2,2,1,no
420,15th June 2022,5,Not Verified,Boeing 777,Couple Leisure,Premium Economy,Cancun to London Gatwick,22-Jun,4,3,3,3,no
421,13th June 2022,4,Not Verified,Unknown,Couple Leisure,Economy Class,Phoenix to Hamburg via London,22-Jun,2,2,1,1,no
422,11th June 2022,1,Trip Verified,Unknown,Family Leisure,Business Class,Dallas Fort-Worth to Toulouse via London,22-Jun,1,1,1,1,no
423,8th June 2022,10,Trip Verified,A320,Couple Leisure,Business Class,London to Thira,22-Jun,5,5,5,5,yes
424,6th June 2022,10,Trip Verified,Unknown,Family Leisure,Economy Class,Islamabad to Manchester via Gatwick,22-Apr,5,5,5,4,yes
425,3rd June 2022,10,Trip Verified,A380,Solo Leisure,Business Class,Vancouver to London,22-Jun,4,5,2,5,yes
426,2nd June 2022,9,Trip Verified,Boeing 777-300ER,Business,Economy Class,London to Boston,22-May,4,5,5,3,yes
427,2nd June 2022,9,Not Verified,Unknown,Solo Leisure,Economy Class,Johannesburg to Toronto via London,22-May,4,4,4,3,yes
428,1st June 2022,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Zurich to London,22-Feb,Unknown,Unknown,1,1,no
429,30th May 2022,8,Not Verified,Boeing 777,Couple Leisure,Business Class,Johannesburg to London Heathrow,22-Apr,4,4,3,3,yes
430,30th May 2022,1,Trip Verified,Unknown,Couple Leisure,Business Class,Miami to Zurich via London,22-May,4,3,1,1,no
431,30th May 2022,1,Trip Verified,Boeing 777-300,Family Leisure,Economy Class,Bridgetown to London ,22-May,1,5,3,1,no
432,27th May 2022,1,Not Verified,Unknown,Family Leisure,Business Class,London to Malaga,22-May,Unknown,Unknown,Unknown,2,no
433,24th May 2022,2,Not Verified,Unknown,Couple Leisure,Business Class,Dubrovnik to London,22-May,2,2,4,1,no
434,23rd May 2022,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Amsterdam to London,22-May,2,1,1,1,no
435,19th May 2022,1,Trip Verified,Unknown,Business,Economy Class,Columbus to Nairobi via Chicago / London,22-May,Unknown,Unknown,Unknown,1,no
436,18th May 2022,1,Not Verified,Unknown,Solo Leisure,Economy Class,London to Geneva,22-Mar,Unknown,Unknown,Unknown,1,no
437,18th May 2022,1,Trip Verified,Unknown,Solo Leisure,Business Class,London to Mauritius,22-Mar,Unknown,Unknown,1,1,no
438,18th May 2022,3,Trip Verified,A320,Solo Leisure,Economy Class,London Heathrow to Malaga,22-May,3,2,1,3,no
439,11th May 2022,2,Not Verified,Unknown,Solo Leisure,Economy Class,Basel to Johannesburg via London,22-May,1,2,1,2,no
440,11th May 2022,4,Trip Verified,A320,Couple Leisure,Business Class,Athens to London,22-May,2,4,3,2,no
